lat,long,gauge_id,q_mean,q_std,q_5,q_95,runoff_coefficient,p_mean,p_std,q_7_10,q_seasonal_amplitude,cvq_autumn,cvq_spring,cvq_summer,cvq_winter,q_annual_sens_slope,q_annual_p.value
48.455633,10.379718,DE210480,0.91,0.699,0.5,1.86,0.365,2.495,5.052,0.481,0.258,0.673,0.74,0.92,0.696,0.001,0.221
48.547354,10.318806,DE210490,0.788,0.361,0.41,1.51,0.336,2.348,4.503,0.392,0.527,0.386,0.414,0.305,0.458,0,0.919
48.615021,10.427193,DE210500,0.436,0.331,0.19,1.04,0.194,2.247,4.489,0.176,0.442,0.701,0.669,0.45,0.741,0,0.892
49.175788,10.258943,DE210510,0.808,1.634,0.09,2.79,0.368,2.198,4.612,0.087,1.355,2.286,1.81,2.91,1.497,0,0.892
49.047761,10.517652,DE210520,0.713,1.099,0.12,2.35,0.336,2.123,4.333,0.104,1.11,1.524,1.385,1.48,1.219,0,1
48.812308,10.641595,DE210530,0.613,0.931,0.1,2.04,0.301,2.036,4.086,0.086,0.931,1.453,1.408,1.315,1.215,-0.001,0.708
48.783246,10.692389,DE210540,0.63,0.869,0.12,2.09,0.311,2.027,4.04,0.099,0.895,1.381,1.256,1.09,1.123,0,1
49.226221,10.321797,DE210550,0.671,1.524,0.08,2.359,0.307,2.187,4.634,0.078,1.145,2.455,2.233,3.192,1.638,0.002,0.072
48.808562,10.60205,DE210560,0.659,0.94,0.11,2.119,0.325,2.027,4.149,0.091,0.907,1.706,1.271,1.025,1.221,0.002,0.248
48.359021,10.57001,DE210570,0.795,0.63,0.44,1.52,0.326,2.442,5.145,0.418,0.247,0.73,0.749,1.022,0.656,0.001,0.415
48.608665,10.717609,DE210580,0.767,0.502,0.43,1.48,0.33,2.325,4.836,0.428,0.269,0.597,0.66,0.765,0.574,0,0.786
48.293679,10.653818,DE210590,0.821,0.88,0.39,1.81,0.315,2.607,5.52,0.373,0.287,0.942,0.996,1.426,0.886,-0.001,0.144
48.49218,10.827355,DE210600,0.763,0.645,0.4,1.61,0.308,2.477,5.176,0.38,0.256,0.717,0.821,1.11,0.705,0.001,0.11
48.635464,10.818569,DE210610,0.686,0.559,0.35,1.48,0.284,2.419,4.998,0.328,0.249,0.69,0.828,1.043,0.677,0.001,0.248
47.610375,10.825206,DE210710,4.099,4.613,1.15,10.139,1.005,4.077,8.008,0.926,4.649,0.798,0.94,1.201,0.773,0.007,0.004
47.647456,10.819677,DE210720,2.4,3.133,0.56,7.12,0.622,3.86,7.658,0.477,1.767,1.15,1.068,1.444,1.08,0.007,0
47.726766,10.891762,DE210730,2.021,2.355,0.58,5.607,0.555,3.643,7.273,0.461,0.986,1.016,1.027,1.335,0.983,0,0.838
47.705926,10.511082,DE210830,2.733,3.802,0.55,8.936,0.678,4.029,7.628,0.471,1.713,1.303,1.297,1.629,1.253,-0.001,0.395
47.748133,10.583279,DE210840,2.132,2.438,0.41,6.159,0.581,3.669,7.047,0.338,1.099,1.022,1.083,1.332,1.071,0.001,0.497
47.826405,10.653232,DE210860,1.757,2.343,0.33,5.28,0.519,3.386,6.677,0.272,1.068,1.266,1.212,1.597,1.117,0,0.838
48.046712,10.718692,DE210870,0.852,0.643,0.23,2.05,0.269,3.169,6.343,0.203,0.417,0.759,0.679,0.815,0.714,-0.002,0.163
48.148066,10.755158,DE210880,1.654,0.486,1.04,2.5,0.61,2.709,5.751,1.05,0.356,0.291,0.26,0.339,0.263,0.002,0.163
48.16708,10.926553,DE210900,0.743,0.267,0.46,1.2,0.277,2.682,5.704,0.454,0.105,0.354,0.357,0.379,0.339,0,0.973
48.273284,10.986086,DE210910,1.165,0.712,0.65,2.09,0.465,2.507,5.274,0.63,0.316,0.57,0.652,0.678,0.507,-0.001,0.518
48.383706,11.050846,DE210920,0.89,0.503,0.53,1.62,0.362,2.459,5.111,0.526,0.241,0.531,0.591,0.628,0.485,0.001,0.497
48.574072,11.282296,DE210940,0.808,0.363,0.5,1.38,0.345,2.338,4.81,0.484,0.202,0.409,0.449,0.5,0.418,0.001,0.434
48.717683,11.493699,DE210950,0.749,0.347,0.48,1.27,0.327,2.293,4.701,0.447,0.203,0.394,0.501,0.509,0.412,0.001,0.415
48.728112,11.501329,DE210960,0.697,0.338,0.4,1.3,0.298,2.193,4.48,0.395,0.272,0.456,0.515,0.497,0.416,0.001,0.225
48.42136,11.149746,DE210970,0.944,0.563,0.65,1.38,0.384,2.457,5.231,0.625,0.184,0.452,0.618,0.748,0.521,0.002,0.035
48.642741,11.784121,DE211000,0.521,0.688,0.28,0.999,0.238,2.187,4.602,0.297,0.234,0.92,1.462,1.422,1.272,-0.001,0.089
48.816543,11.830639,DE211010,0.715,0.496,0.4,1.21,0.332,2.154,4.489,0.431,0.229,0.478,0.724,0.857,0.634,-0.001,0.174
48.683035,11.617317,DE211030,0.718,0.386,0.46,1.14,0.325,2.208,4.668,0.425,0.123,0.364,0.551,0.665,0.516,-0.001,0.248
49.382718,10.373273,DE211040,0.616,1.322,0.03,2.25,0.337,1.828,4.056,0.03,1.11,2.498,1.934,3.338,1.517,0.001,0.61
49.206538,10.544614,DE211050,0.602,1.219,0.07,2.47,0.316,1.908,4.063,0.065,1.002,2.188,1.847,3.081,1.472,0.001,0.359
49.100529,10.753627,DE211060,0.461,0.584,0.08,1.44,0.242,1.908,3.987,0.074,0.701,1.306,1.148,1.058,1,-0.001,0.708
48.953171,10.913546,DE211070,0.512,0.588,0.11,1.63,0.266,1.924,3.951,0.099,0.764,1.197,1.014,0.891,0.893,0,0.946
48.883039,11.200565,DE211080,0.593,0.556,0.18,1.67,0.296,2.006,3.999,0.176,0.761,0.998,0.804,0.658,0.784,-0.001,0.518
49.028377,11.478209,DE211090,0.595,0.518,0.2,1.619,0.294,2.022,3.988,0.196,0.696,0.906,0.743,0.649,0.738,0,0.683
49.156773,10.548732,DE211100,0.592,1.025,0.12,1.859,0.299,1.978,4.25,0.109,0.919,1.789,1.528,1.639,1.417,0.002,0.163
48.967308,10.953516,DE211110,0.349,0.475,0.02,1.15,0.158,2.214,4.774,0.016,0.587,1.826,1.081,1.615,1.048,0,0.734
49.02988,11.365405,DE211120,0.631,0.923,0.11,2,0.302,2.089,4.292,0.101,0.843,1.522,1.305,1.697,1.156,0.001,0.683
49.121682,11.5164,DE211130,0.867,0.778,0.29,2.12,0.393,2.205,4.548,0.276,0.962,0.798,0.767,0.685,0.826,-0.001,0.634
49.171208,11.727558,DE211150,0.723,0.593,0.26,1.719,0.312,2.315,4.694,0.257,0.724,0.796,0.692,0.553,0.822,-0.001,0.497
49.027852,11.914499,DE211160,0.573,0.301,0.31,1.1,0.262,2.189,4.396,0.308,0.418,0.444,0.45,0.331,0.548,0,0.973
